NRC,Materia,Días,Hora_ini ,Hora_fin,Profesor,Salón
45312,Equilibrio Quimico y Catalisis,L,06:00 p. m.,08:59 p. m.,FLORES - GARCIA JOSE RAFAEL,1FIQ1/102
45312,Equilibrio Quimico y Catalisis,M,06:00 p. m.,08:59 p. m.,FLORES - GARCIA JOSE RAFAEL,1FIQ1/102
45312,Equilibrio Quimico y Catalisis,V,06:00 p. m.,08:59 p. m.,FLORES - GARCIA JOSE RAFAEL,1FIQ1/102
45312,Equilibrio Quimico y Catalisis,A,06:00 p. m.,07:59 p. m.,FLORES - GARCIA JOSE RAFAEL,1FIQ1/102
45312,Equilibrio Quimico y Catalisis,J,06:00 p. m.,07:59 p. m.,FLORES - GARCIA JOSE RAFAEL,1FIQ1/102
40997,Equilibrio Quimico y Catalisis,A,08:00 a. m.,09:59 a. m.,LUNA - ORTEGA CESAR,1FIQ5/301
40997,Equilibrio Quimico y Catalisis,M,08:00 a. m.,09:59 a. m.,LUNA - ORTEGA CESAR,1FIQ5/301
40997,Equilibrio Quimico y Catalisis,L,08:00 a. m.,10:59 a. m.,LUNA - ORTEGA CESAR,1FIQ5/301
40997,Equilibrio Quimico y Catalisis,J,08:00 a. m.,10:59 a. m.,LUNA - ORTEGA CESAR,1FIQ5/301
40997,Equilibrio Quimico y Catalisis,V,08:00 a. m.,10:59 a. m.,LUNA - ORTEGA CESAR,1FIQ5/301
40550,Fenomenos de Transporte I,A,11:00 a. m.,12:59 p. m.,AYALA - HERRERA EDGAR,1FIQ1/303
40550,Fenomenos de Transporte I,J,11:00 a. m.,12:59 p. m.,AYALA - HERRERA EDGAR,1FIQ1/303
40550,Fenomenos de Transporte I,L,11:00 a. m.,01:59 p. m.,AYALA - HERRERA EDGAR,1FIQ1/303
40550,Fenomenos de Transporte I,M,11:00 a. m.,01:59 p. m.,AYALA - HERRERA EDGAR,1FIQ1/303
40550,Fenomenos de Transporte I,V,11:00 a. m.,01:59 p. m.,AYALA - HERRERA EDGAR,1FIQ1/303
44862,Fisicoquimica II,J,08:00 a. m.,09:59 a. m.,REYES - AVENDANO JOSE ANDRES,12EM10/105
44862,Fisicoquimica II,V,08:00 a. m.,09:59 a. m.,REYES - AVENDANO JOSE ANDRES,12EM10/105
44862,Fisicoquimica II,L,08:00 a. m.,10:59 a. m.,REYES - AVENDANO JOSE ANDRES,12EMA5/303
44862,Fisicoquimica II,A,08:00 a. m.,10:59 a. m.,REYES - AVENDANO JOSE ANDRES,12EMA5/303
44862,Fisicoquimica II,M,08:00 a. m.,10:59 a. m.,REYES - AVENDANO JOSE ANDRES,12EMA5/303
40560,Flujo de Fluidos,L,12:00 p. m.,01:59 p. m.,ORTEGA - PEREZ JORGE,1FIQ1/302
40560,Flujo de Fluidos,M,12:00 p. m.,01:59 p. m.,ORTEGA - PEREZ JORGE,1FIQ1/302
40560,Flujo de Fluidos,A,11:00 a. m.,01:59 p. m.,ORTEGA - PEREZ JORGE,1FIQ1/302
40560,Flujo de Fluidos,J,11:00 a. m.,01:59 p. m.,ORTEGA - PEREZ JORGE,1FIQ1/302
40560,Flujo de Fluidos,V,11:00 a. m.,01:59 p. m.,ORTEGA - PEREZ JORGE,1FIQ1/302
40609,Flujo de Fluidos,J,08:00 a. m.,09:59 a. m.,LOPEZ - BADILLO MARIBEL,1FIQ1/305
40609,Flujo de Fluidos,V,08:00 a. m.,09:59 a. m.,LOPEZ - BADILLO MARIBEL,1FIQ1/305
40609,Flujo de Fluidos,L,08:00 a. m.,10:59 a. m.,LOPEZ - BADILLO MARIBEL,1FIQ1/305
40609,Flujo de Fluidos,A,08:00 a. m.,10:59 a. m.,LOPEZ - BADILLO MARIBEL,1FIQ1/305
40609,Flujo de Fluidos,M,08:00 a. m.,10:59 a. m.,LOPEZ - BADILLO MARIBEL,1FIQ1/305
40668,Impacto Ambiental,V,02:00 p. m.,05:59 p. m.,LOPEZ - ORTEGA JOSE GERARDO,1FIQ5/102
40668,Impacto Ambiental,L,03:00 p. m.,05:59 p. m.,LOPEZ - ORTEGA JOSE GERARDO,1FIQ2/203
40668,Impacto Ambiental,A,03:00 p. m.,05:59 p. m.,LOPEZ - ORTEGA JOSE GERARDO,1FIQ2/203
40668,Impacto Ambiental,M,03:00 p. m.,05:59 p. m.,LOPEZ - ORTEGA JOSE GERARDO,1FIQ2/203
40668,Impacto Ambiental,J,03:00 p. m.,05:59 p. m.,LOPEZ - ORTEGA JOSE GERARDO,1FIQ2/203
40713,Ingenieria Bioquimica,V,11:00 a. m.,11:59 a. m.,SANTACRUZ - VAZQUEZ CLAUDIA,1FIQ7/203
